firm_id,baseline_employees,total_grant_amount,grant_stage1_amount,grant_stage2_total_amount,grant_stage3_amount,post_grant_permanent_employees,post_grant_temporary_employees,total_employees_post_grant
6,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
18,3,2000000.0,50000.0,1100000.0,350000.0,2,10,210
29,5 skilled.,4000000.0,300000.0,1970000.0,950000.0,0,0,00
40,Not Applicable,6000000.0,600000.0,2400000.0,1500000.0,3,2,32
67,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
88,6,5400000.0,540000.0,2160000.0,1350000.0,8,3,83
125,3,8000000.0,800000.0,4200000.0,1500000.0,8,61,861
142,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
165,5,2400000.0,300000.0,1200000.0,300000.0,8,6,86
223,3,6000000.0,200000.0,3300000.0,1000000.0,20,5,205
266,10,4000000.0,300000.0,1970000.0,950000.0,0,0,00
287,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
301,3,4000000.0,400000.0,1600000.0,1000000.0,8,2,82
317,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
338,3 currently,4000000.0,300000.0,1970000.0,950000.0,0,0,00
416,4,4200000.0,420000.0,1680000.0,1050000.0,4,2,42
438,5 staff at the moment,4000000.0,300000.0,1970000.0,950000.0,0,0,00
450,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
458,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
585,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
622,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
651,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
668,6 Workers,2600000.0,260000.0,1040000.0,650000.0,6,7,67
683,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
684,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
689,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
767,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
769,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
774,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
805,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
877,13 people,10000000.0,1000000.0,4000000.0,2500000.0,22,15,2215
886,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
929,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
935,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
946,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
978,11,6000000.0,600000.0,2400000.0,1500000.0,3,1,31
1033,6,0.0,0.0,0.0,0.0,3,2,32
1041,12 PEOPLE,4000000.0,300000.0,1970000.0,950000.0,0,0,00
1132,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
1170,3,2700000.0,270000.0,1080000.0,675000.0,4,1,41
1187,3,0.0,0.0,0.0,0.0,15,47,1547
1209,3,4000000.0,400000.0,1600000.0,1000000.0,12,32,1232
1213,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
1217,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
1222,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
1272,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
1297,3,0.0,0.0,0.0,0.0,5,3,53
1313,1 permanent and 4 temps,6000000.0,600000.0,2400000.0,1500000.0,4,3,43
1318,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
1319,3,6000000.0,200000.0,4300000.0,750000.0,15,16,1516
1332,5,4000000.0,400000.0,1600000.0,1000000.0,7,4,74
1435,3,6500000.0,650000.0,3600000.0,625000.0,8,18,818
1442,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
1484,3,6000000.0,200000.0,2800000.0,1500000.0,10,12,1012
1503,3,4000000.0,400000.0,1000000.0,1600000.0,0,0,00
1577,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
1587,3,4500000.0,450000.0,2125000.0,800000.0,3,7,37
1623,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
1667,7,4800000.0,480000.0,1920000.0,1200000.0,9,14,914
1710,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
1756,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
1794,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
1806,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
1813,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
1833,Minimum of 10 people,0.0,0.0,0.0,0.0,2,4,24
1882,4 (part-time),0.0,0.0,0.0,0.0,11,25,1125
1893,3,0.0,0.0,0.0,0.0,3,2,32
1937,2,5000000.0,200000.0,2800000.0,1000000.0,15,28,1528
1958,16,4000000.0,300000.0,1970000.0,950000.0,0,0,00
1989,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2008,3 people,6000000.0,200000.0,2800000.0,1500000.0,5,6,56
2043,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2065,3,0.0,0.0,0.0,0.0,1,3,13
2093,15,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2098,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2113,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2122,nine,6000000.0,0.0,3000000.0,1500000.0,12,8,128
2175,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2204,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2212,2,10000000.0,1000000.0,5000000.0,1500000.0,8,4,84
2241,3,6000000.0,600000.0,2900000.0,1000000.0,8,4,84
2264,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2318,5,5100000.0,510000.0,2040000.0,1275000.0,8,124,8124
2361,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2387,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2401,1,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2429,20 people,3800000.0,380000.0,1520000.0,950000.0,18,3,183
2436,3,0.0,0.0,0.0,0.0,9,28,928
2546,3,3000000.0,300000.0,1200000.0,750000.0,7,19,719
2555,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2572,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2593,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2602,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2637,3,2500000.0,100000.0,1600000.0,400000.0,7,88,788
2692,3,4600000.0,460000.0,2040000.0,950000.0,4,22,422
2733,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2750,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2765,5,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2814,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2854,4,6000000.0,300000.0,2700000.0,1500000.0,8,4,84
2876,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
2957,13,6000000.0,600000.0,2400000.0,1500000.0,8,16,816
2994,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
3031,9,10000000.0,1000000.0,4000000.0,2500000.0,4,15,415
3057,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
3068,Seven,2000000.0,250000.0,1250000.0,250000.0,disqualified,disqualified,disqualifieddisqualified
3122,Seven,2500000.0,50000.0,1200000.0,625000.0,12,3,123
3166,"9 (4 permanent, 5 part time)",5700000.0,200000.0,3500000.0,1000000.0,7,8,78
3167,7,5000000.0,500000.0,2000000.0,1250000.0,6,6,66
3168,6 person per team,6000000.0,600000.0,2400000.0,1500000.0,34,12,3412
3260,3,7500000.0,750000.0,3500000.0,1375000.0,7,3,73
3291,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
3301,3,4000000.0,400000.0,1600000.0,1000000.0,4,1,41
3319,2 PERSONS,3000000.0,300000.0,1600000.0,350000.0,8,2,82
3416,3,6000000.0,200000.0,2800000.0,1500000.0,15,22,1522
3426,4,6000000.0,0.0,3000000.0,1500000.0,7,8,78
3438,3,6000000.0,600000.0,2400000.0,1500000.0,8,30,830
3452,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
3459,3,6000000.0,200000.0,2800000.0,1500000.0,9,1,91
3521,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
3540,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
3545,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
3635,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
3699,3,6000000.0,600000.0,2400000.0,1500000.0,10,7,107
3717,8,0.0,0.0,0.0,0.0,9,2,92
3739,3,6000000.0,600000.0,3400000.0,1000000.0,9,25,925
3746,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
3780,3,4000000.0,400000.0,1600000.0,1000000.0,6,6,66
3782,3,0.0,0.0,0.0,0.0,6,5,65
3802,3,6000000.0,600000.0,2400000.0,1500000.0,7,3,73
3832,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
3884,7,6000000.0,600000.0,2400000.0,1500000.0,3,3,33
3886,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
3902,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
3911,1,2500000.0,250000.0,1000000.0,625000.0,4,6,46
3919,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
3940,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
3941,7,4000000.0,300000.0,1970000.0,950000.0,0,0,00
3942,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
3996,2,2500000.0,250000.0,1400000.0,425000.0,6,5,65
3999,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4032,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4048,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4149,10,2400000.0,240000.0,960000.0,600000.0,2,6,26
4154,6,5000000.0,500000.0,2000000.0,1250000.0,15,2,152
4177,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4196,6,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4199,2,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4279,Presently we have 5 employees and invites more professional hands when the needs be with a big project.,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4307,3,6000000.0,0.0,3000000.0,1500000.0,3,5,35
4359,6,6000000.0,600000.0,2400000.0,1500000.0,12,4,124
4371,2,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4427,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4523,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4585,3,900000.0,90000.0,360000.0,225000.0,0,2,02
4603,3,2900000.0,200000.0,1250000.0,725000.0,13,2,132
4657,15 persons,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4662,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4669,3,0.0,0.0,0.0,0.0,9,5,95
4711,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4733,3,2500000.0,0.0,1000000.0,875000.0,6,4,64
4735,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4786,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4796,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4797,3,5300000.0,530000.0,2620000.0,825000.0,5,2,52
4852,9,0.0,0.0,0.0,0.0,4,2,42
4858,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4899,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4930,3,3200000.0,320000.0,1280000.0,800000.0,8,4,84
4952,10,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4963,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
4967,3,1800000.0,180000.0,1020000.0,300000.0,4,2,42
4986,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5040,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5060,3,0.0,0.0,0.0,0.0,3,7,37
5075,3,0.0,0.0,0.0,0.0,3,20,320
5081,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5110,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5122,3,3200000.0,0.0,1600000.0,800000.0,12,20,1220
5126,4,5100000.0,510000.0,2040000.0,1275000.0,11,8,118
5149,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5167,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5185,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5196,3,5000000.0,500000.0,2000000.0,1250000.0,16,7,167
5204,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5211,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5280,3 Full time; 15 freelance,1000000.0,100000.0,400000.0,250000.0,6,15,615
5299,3,6000000.0,100000.0,2900000.0,1500000.0,6,3,63
5313,5,6000000.0,600000.0,2400000.0,1500000.0,12,6,126
5355,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5365,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5408,5,2600000.0,260000.0,1340000.0,500000.0,8,9,89
5498,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5506,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5528,3,6000000.0,600000.0,3150000.0,750000.0,6,17,617
5570,3,3000000.0,300000.0,1200000.0,750000.0,7,4,74
5579,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5593,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5604,NNINE,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5672,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5676,6,3500000.0,200000.0,1800000.0,750000.0,5,3,53
5678,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5688,8 people,2500000.0,250000.0,1000000.0,625000.0,5,7,57
5705,3,6000000.0,600000.0,2400000.0,1500000.0,10,12,1012
5725,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5775,four,9350000.0,350000.0,4000000.0,2500000.0,8,32,832
5869,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5894,10,5000000.0,500000.0,2500000.0,1000000.0,15,10,1510
5929,2,4200000.0,420000.0,2280000.0,750000.0,7,10,710
5954,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5957,3,2400000.0,180000.0,820000.0,700000.0,12,24,1224
5980,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
5993,5,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6035,5 Presently,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6053,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6069,3,4800000.0,480000.0,1920000.0,1200000.0,5,0,50
6096,3,3000000.0,100000.0,1650000.0,500000.0,disqualified,disqualified,disqualifieddisqualified
6123,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6128,3,3700000.0,370000.0,1700000.0,705000.0,7,3,73
6173,3,10000000.0,1000000.0,4000000.0,2500000.0,6,15,615
6199,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6217,25 PEOPLE,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6290,5-10,3000000.0,300000.0,1200000.0,750000.0,6,2,62
6294,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6316,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6376,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6423,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6458,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6461,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6487,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6510,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6578,4 FIXED STAFFS AND OVER 35 CASUAL WORKERS,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6599,Three (3),5000000.0,0.0,3500000.0,750000.0,12,4,124
6600,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6610,8,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6650,3,6000000.0,400000.0,3600000.0,1000000.0,6,0,60
6668,3,5900000.0,590000.0,2360000.0,1475000.0,8,2,82
6695,5,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6711,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6716,3,3000000.0,300000.0,1500000.0,450000.0,11,2,112
6717,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6718,4,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6749,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6752,3,10000000.0,1000000.0,4700000.0,1800000.0,14,9,149
6804,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6820,3,6000000.0,0.0,3750000.0,750000.0,18,4,184
6825,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6891,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6893,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6921,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
6955,3,4500000.0,450000.0,1800000.0,1125000.0,7,11,711
7052,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
7153,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
7230,3,6000000.0,600000.0,2900000.0,1000000.0,6,16,616
7233,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
7236,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
7242,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
7261,5,4000000.0,400000.0,1000000.0,1600000.0,20,3,203
7288,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
7346,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
7500,6,6000000.0,200000.0,3300000.0,1250000.0,15,6,156
7519,5,4000000.0,300000.0,1970000.0,950000.0,0,0,00
7525,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
7536,3,5500000.0,250000.0,3000000.0,875000.0,7,24,724
7625,5,0.0,0.0,0.0,0.0,7,3,73
7629,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
7654,9,4500000.0,200000.0,2500000.0,900000.0,5,5,55
7699,4,5000000.0,0.0,3000000.0,750000.0,10,18,1018
7729,4,3800000.0,300000.0,2100000.0,700000.0,13,3,133
7760,3 staff and 7 contract staff,10000000.0,1000000.0,4000000.0,2500000.0,9,24,924
7782,3,6000000.0,200000.0,2800000.0,1500000.0,3,7,37
7790,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
7825,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
7868,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
7986,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
8034,3,4700000.0,470000.0,2380000.0,675000.0,4,5,45
8048,3,3300300.0,330030.0,1820120.0,325075.0,13,33,1333
8073,2,3600000.0,0.0,1440000.0,1260000.0,9,6,96
8091,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
8105,3,3000000.0,300000.0,1200000.0,750000.0,11,15,1115
8107,3,5600000.0,200000.0,2700000.0,1350000.0,5,0,50
8216,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
