firm_id,city,state,region,num_paid_employees,monthly_revenue,annual_revenue_2014,last_month_income,family_applied_member,family_applied_spouse,family_applied_other,applied_third_round,selected_third_round,survival_chance_without_grant
6,325.0,26.0,6.0,3.0,150000.0,1200000.0,90000.0,0.0,0.0,0.0,2.0,2.0,50.0
18,Unknown,Unknown,Unknown,6.0,500000.0,2200000.0,400000.0,0.0,0.0,0.0,2.0,2.0,50.0
29,50.0,32.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,1.0,0.0,1.0,2.0,50.0
40,19.0,15.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
67,19.0,15.0,6.0,4.0,679980.0,5200000.0,542980.0,0.0,0.0,0.0,2.0,2.0,50.0
88,48.0,12.0,2.0,13.0,500000.0,14000000.0,350000.0,0.0,0.0,0.0,2.0,2.0,20.0
125,184.0,25.0,7.0,7.0,200000.0,1300000.0,70000.0,0.0,0.0,0.0,2.0,2.0,85.0
142,9.0,1.0,3.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
165,19.0,15.0,6.0,6.0,2000000.0,17906000.0,966000.0,0.0,0.0,0.0,2.0,2.0,100.0
223,Unknown,Unknown,Unknown,6.0,2550000.0,2200000.0,1850000.0,0.0,0.0,0.0,2.0,2.0,50.0
266,184.0,25.0,7.0,4.0,8000000.0,110000000.0,460000.0,0.0,0.0,0.0,2.0,2.0,50.0
287,184.0,25.0,7.0,3.0,10000.0,150000.0,3000.0,0.0,0.0,0.0,2.0,2.0,50.0
301,31.0,16.0,4.0,3.0,90000.0,150000.0,90000.0,0.0,0.0,0.0,2.0,2.0,50.0
317,304.0,36.0,4.0,2.0,540000.0,3000000.0,30000.0,0.0,0.0,0.0,2.0,2.0,50.0
338,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
416,52.0,25.0,7.0,13.0,3000000.0,12000000.0,450000.0,0.0,0.0,0.0,2.0,2.0,80.0
