firm_id,baseline_employees,total_grant_amount,grant_stage1_amount,grant_stage2_total_amount,grant_stage3_amount,post_grant_permanent_employees,post_grant_temporary_employees,total_employees_post_grant,city,state,region,num_paid_employees,monthly_revenue,annual_revenue_2014,last_month_income,family_applied_member,family_applied_spouse,family_applied_other,applied_third_round,selected_third_round,survival_chance_without_grant,m_i_7
6,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,325.0,26.0,6.0,3.0,150000.0,1200000.0,90000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
88,6.0,5400000.0,540000.0,2160000.0,1350000.0,8,3,83.0,48.0,12.0,2.0,13.0,500000.0,14000000.0,350000.0,0.0,0.0,0.0,2.0,2.0,20.0,1.0
125,3.0,8000000.0,800000.0,4200000.0,1500000.0,8,61,861.0,184.0,25.0,7.0,7.0,200000.0,1300000.0,70000.0,0.0,0.0,0.0,2.0,2.0,85.0,1.0
223,3.0,6000000.0,200000.0,3300000.0,1000000.0,20,5,205.0,Unknown,Unknown,Unknown,6.0,2550000.0,2200000.0,1850000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
301,3.0,4000000.0,400000.0,1600000.0,1000000.0,8,2,82.0,31.0,16.0,4.0,3.0,90000.0,150000.0,90000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
416,4.0,4200000.0,420000.0,1680000.0,1050000.0,4,2,42.0,52.0,25.0,7.0,13.0,3000000.0,12000000.0,450000.0,0.0,0.0,0.0,2.0,2.0,80.0,1.0
585,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
622,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,19.0,15.0,6.0,5.0,370000.0,1468000.0,80000.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0
805,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
935,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
1033,6.0,0.0,0.0,0.0,0.0,3,2,32.0,Unknown,Unknown,Unknown,6.0,0.1,2200000.0,2.5,0.0,0.0,0.0,2.0,2.0,50.0,1.0
1187,3.0,0.0,0.0,0.0,0.0,15,47,1547.0,184.0,25.0,7.0,6.0,200000.0,1200000.0,140000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
1209,3.0,4000000.0,400000.0,1600000.0,1000000.0,12,32,1232.0,3.0,31.0,1.0,28.0,180000.0,800000.0,120000.0,0.0,0.0,0.0,2.0,2.0,20.0,1.0
1297,3.0,0.0,0.0,0.0,0.0,5,3,53.0,22.0,18.0,4.0,5.0,4800000.0,40000000.0,200000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
1319,3.0,6000000.0,200000.0,4300000.0,750000.0,15,16,1516.0,43.0,30.0,1.0,9.0,160000.0,2000000.0,100000.0,0.0,0.0,0.0,2.0,2.0,30.0,1.0
1332,5.0,4000000.0,400000.0,1600000.0,1000000.0,7,4,74.0,Unknown,Unknown,Unknown,6.0,380000.0,2200000.0,2.5,0.0,0.0,0.0,2.0,2.0,50.0,1.0
1484,3.0,6000000.0,200000.0,2800000.0,1500000.0,10,12,1012.0,1.0,33.0,2.0,4.0,800000.0,6000000.0,100000.0,0.0,0.0,0.0,2.0,2.0,90.0,1.0
