"uid","t_inttime","t_internr","t_stime","t_resp_5","t_resp_10","t_interview_attempt","t_operate","t_ope_yes","t_city","t_state","t_region","t_d19","t_lang","t_dm1","t_tdm1c3","t_dm4","t_dm5","t_dm5b","t_dm5c","t_dm6","t_a1","t_a2_1","t_a2_2","t_a2_3","t_a2_4","t_a3","t_a4","t_a5","t_p1","t_p2","t_p3","t_tp3c6","t_p4","t_p12_1","t_p12_2","t_p12_3","t_p12_4","t_p12_5","t_p12_6","t_p12_7","t_p12_8","t_p12_9","t_sc","t_b1","t_b3","t_b3b","t_b5","t_tb5c7","t_b6a","t_b6b","t_b6c","t_b6d","t_b6e","t_b8","t_tb8c5","t_b12","t_ef1_1","t_ef1_2","t_ef2_1","t_ef2_2","t_ef3_1","t_ef3_2","t_ef3_3","t_ef3_4","t_ef3_5","t_ef4","t_ef6","t_ef51b","t_ef51c","t_ef51d","t_ef51e","t_tef51ec5","t_ef51f","t_ef51g","t_ef51h","t_tef51hc5","t_ef51i","t_tef51ii","t_ef51j","t_ef5_2l","t_ef5_2m","t_ef5_2n","t_ef5_2o","t_tef5_2oc5","t_ef5_2p","t_ef5_2q","t_ef5_2r","t_tef5_2rc5","t_ef5_2s","t_tef5_2ss","t_ef5_2t","t_ef5_3v","t_ef5_3w","t_ef5_3x","t_ef5_3y","t_tef5_3yc5","t_ef5_3z","t_ef5_3aa","t_ef5_3bb","t_tef5_3bbc5","t_ef5_3cc","t_tef5_3ccc","t_ef5_3dd","t_ef7","t_ef8","t_in1","t_in2","t_in3","t_in5","t_tin5c4","t_in8","t_in9","t_in10","t_in12_1","t_in12_2","t_in12_3","t_in12_4","t_in12_5","t_in12_6","t_in12_7","t_in13_1","t_in13_2","t_in13_3","t_in13_4","t_in13_5","t_in13_6","t_in14","t_in14b","t_tin14b","t_in15","t_in17","t_in18","t_in19_1","t_in19_2","t_in19_3","t_in19_4","t_in19_5","t_in19_6","t_tin19c6","t_in20","t_in21","t_in22","t_fb4","t_fb5_1","t_fb5_2","t_fb5_3","t_fb5_4","t_fb5_5","t_fb5_6","t_tfb5c6","t_fb5a","t_fb6","t_tfb6b","t_fb7","t_tfb7c5","t_fb8","t_fb8a","t_fb9","t_fb10","t_fb10b","t_tfb10b","t_fb10cat","t_fb11","t_tfb11c5","t_bf1","t_bf2a","t_bf2b","t_tbf2b","t_bf2cat","t_bf3","t_bf4a","t_tbf4aa","t_bf4acat","t_bf4b","t_tbf4bb","t_bf4bcat","t_bf4aa_2_1","t_bf4aa_2_2","t_bf4aa_2_3","t_bf4aa_2_4","t_bf4aa_2_5","t_bf4aa_2_6","t_bf4aa_2_7","t_bf4ab_1","t_bf4ab_2","t_bf4ab_3","t_bf4ab_4","t_bf4ab_5","t_bf4ab_6","t_bf4ab_7","t_bf5","t_tbf5b","t_bf5cat","t_bf6","t_tbf6b","t_bf6cat","t_bf7","t_bf8","t_bf8b","t_bf9","t_tbf9b","t_bf9cat","t_bf10","t_tbf10b","t_bf10cat","t_bf11","t_bp1","t_bp2","t_bp3","t_bp4","t_bp5","t_bp6","t_bp7","t_bp8","t_bp9","t_bp10","t_bp11","t_bp12","t_bp13","t_bp15","t_bp17","t_bp18","t_bp19","t_bp20","t_bp21","t_bp22","t_bp23","t_bp24","t_bp25","t_bp26","t_bp27","t_x1","t_x2_1","t_x2_2","t_x2_3","t_x2_4","t_x2_5","t_tx2other","t_x3","t_tx3b","t_py1","t_py2a","t_py2b","t_py2c","t_py3_1","t_py3_2","t_py3_3","t_py3_4","t_py4","t_py5","t_py6","t_py7a","t_py7b","t_py7c","t_bc1","t_bc3a","t_bc4","t_tbc4c6","t_bc4b","t_bc5","t_tbc5c3","t_bc6","t_tbc6b","t_nb1_1","t_nb1_2","t_nb1_3","t_nb1_4","t_nb1_5","t_nb1_6","t_tnb1c5","t_tnb2a","t_tnb2b","t_nb2c","t_tnb2c","t_nb3","t_nb6","t_tnb6b","t_pn1","t_pn2_1","t_pn2_2","t_pn2_3","t_pn2_4","t_pn2_5","t_pn2_6","t_tpn2oth","t_pn3","t_tpn3","t_pn4","t_pn7_1","t_pn7_2","t_pn7_3","t_pn7_4","t_pn7_5","t_pn7_6","t_pn7_7","t_pn7_8","t_tpn7oth","t_int1","t_int2","t_int3_1","t_int3_2","t_int3_3","t_int4","t_int5","t_endtime","t_webcomplete","t_webnotcomplete","t_surveymonkey"
6,4731,"7JzpYujE","201412161114","02135161","16/12/2014",10,1,3,325,26,6,6,1,2,,4,26,38,,15,6,,,,,,,,1,1,,,,3,4,3,4,4,4,4,3,4,1,1,2,,1,,1,2,2,2,2,3,,,7,10,5,5,3,999,999,999,3,998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,2,,,,,,2,,1,1,2,1,2,2,1,1,2,2,2,1,2,0,,"Zero Naira Only",1,2,2,,,,,,,,,1,7,2,,,,,,,,,,,,,,,2,,,,,,,2,,,,,1,270000,"Two hundren and seventy thousand naira only",2,500000,"Five hundred thousand naira",2,10000,340000,70000,800000,500000,0,1720000,0,0,0,0,0,0,0,150000,"One hundred and fifty thousand",1,1200000,"One million two  hundred thousand naira",5,3,20,,90000,"Ninety thousand naira",1,150000,"One hundred and fifty thousand naira only",1,8,1,1,1,2,1,1,1,1,2,1,1,2,,1,1,1,1,1,1,2,1,4,1,4,1,2,,,,,,,,,2,90,15,400000,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,2,1,0.564583361148834,,,
18,500,"00000015","201503191327",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,1,8,,,,,,,,,,1,,,,,2,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,500000,,,,,,3,,,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3125,"4GlGrowB","201411261502","02147864","26/11/2014",1,2,,50,32,6,6,1,1,,,,,,32,6,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100,10,2300000,0,1,0,0,2,1,2,,,,2,,,,,,,,,1,0,0,0,0,0,,8411,8411,,43,160,70000,"Seventy thousand naira only",1,,,,,,,,"Crop Farming",161,1,2,1,2,2,1,2,1,2,,,,,,,,,0.703472197055817,,,
40,2901,"HTxYypqi","201411261118","02134412","26/11/2014",2,2,,19,15,6,6,1,1,,,,,,15,6,,,,,,,,2,1,,,,4,4,3,4,4,3,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,15,2000000,0,0,0,1,,2,,,,,2,,,,,,,,,0,0,0,0,0,1,,,,,,,,,1,,,,,,,,"Renewable energy",3319,1,1,1,1,1,1,1,1,2,,,,,,,,,0.545138895511627,,,
67,7237,"5c7Ckl0u","201410251500","02134489","25/10/2014",1,1,4,19,15,6,6,1,2,,15,38,,,15,6,,,,,,,,1,1,,,,4,4,3,4,4,4,4,4,4,1,1,2,,3,,1,1,1,2,1,3,,,12,12,48,48,4,999,999,999,4,4,0,2,33,1,1,,2,7020,3,,45000,"Forty five thousand naira",1,2,26,1,1,,1,4690,3,,35000,"Thirty five thousand naira",1,1,27,1,1,,1,8549,2,,30000,"Thirty thousand naira",1,0,10,2,,,,,,1,129,2,2,1,1,2,1,2,2,1,2,1,2,1,0,,"Zero",1,1,2,,,,,,,,,1,3,2,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,200000,500000,250000,1550000,1800000,0,4300000,0,0,0,0,0,0,0,679980,"Six hundred and seventy nine thousand nine hunderd and eighty",3,5200000,"Five million  two  hundred  thousand  naira",11,3,15,,542980,"Five hundred and fourty two thousand nine hundred and eigty",3,600000,"Six hundred thousand naira",3,8,1,1,1,2,1,1,2,,1,1,1,1,3,1,1,1,1,1,2,1,1,4,1,4,1,2,,,,,,,,,2,100,15,1200000,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,1,1,0.75,,,
88,4508,"GeI4cHRR","201410170916","08121570","17/10/2014",4,1,13,48,12,2,2,1,2,,12,38,,,12,6,,,,,,,,1,1,,,,4,4,4,4,4,4,2,2,4,1,1,2,,1,,1,2,1,1,2,2,,,65,70,20,5,9,4,999,999,13,3,1,2,28,1,1,,2,7020,3,,20000,"Twenty thousand naira",1,2,21,1,1,,3,310,2,,18000,"Eighteen thousand naira",1,,,,,,,,,,,,,0,30,2,,,,,,1,57,2,1,1,2,2,2,2,2,1,2,2,1,2,400000,,"Four hundred thousand naira",1,1,1,1,0,0,1,0,0,,5,1,2,2,,,,,,,,,,,,,,,2,,,,,,,1,2000000,,"Two million naira",7,1,400000,"Four hundred thousand naira",2,0,"None",1,1500000,1500000,400000,2000000,10000000,4000000,19400000,0,0,0,0,0,0,0,500000,"Five hundred thousand naira only.",2,14000000,"Fourteen million naira only",13,3,10,,350000,"Three hundred and fifty thousand naria.",2,3000000,"Three million naira",8,4,1,1,1,2,1,1,2,,1,1,1,1,4,1,1,1,1,1,1,1,1,3,1,4,1,2,,,,,,,,,1,,,,,,,,,,,20,3,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,2,2,0.479861110448837,,,
125,8541,"UEDhqxyA","201410171017","01133250","17/10/2014",11,1,7,184,25,7,7,1,2,,25,28,38,,25,6,,,,,,,,1,1,,,,3,3,4,4,4,4,4,4,4,1,1,2,,1,,1,2,1,1,2,3,,,25,15,9998,9998,7,999,999,999,7,998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,2,,,,,,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,100000,,"One hundred thousand naira",1,2,1,1,0,1,0,0,0,,32,1,2,2,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,100000,300000,0,100000,5000000,0,5500000,0,0,0,0,0,0,0,200000,"Two hundred thousand naria",1,1300000,"One million three hundred thousand naira",6,3,30,,70000,"Seventy thousand Naira",1,70000,"Seventy thousand naira",1,9,1,1,2,2,2,1,2,,2,2,2,2,,2,1,1,1,1,1,1,1,2,1,4,1,2,,,,,,,,,1,,,,,,,,,,,85,2,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,2,1,2,0.567361116409302,,,
142,2025,"oEJO80hj","201410171100","04120577","16/10/2014",4,2,,9,1,3,3,1,2,,,,,,1,6,,,,,,,,1,1,,,,1,5,2,5,5,5,5,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30,5,300000,0,0,0,1,,2,,,,,2,,,,,,,,,0,0,0,0,1,0,19,8550,8549,,25,32,19600,"Nineteen thousand six hundred naira",1,,,,,,,,"Sale of clothes",4641,1,2,1,1,2,2,2,1,2,,,,,,,,,0.454861104488373,,,
165,9197,"T0yDkkiy","201410131454"," 0214742","13/09/2014",1,1,6,19,15,6,6,1,2,,15,38,,,15,6,,,,,,,,1,1,,,,4,4,4,4,4,4,4,4,4,1,1,2,,3,,1,1,1,1,1,1,,,108,108,9998,9998,6,999,999,999,6,3,0,2,31,1,1,,3,8290,1,,60000,"Sixty thousand naira",1,2,33,1,1,,3,6312,1,,45000,"Forty five thousand naira",1,2,24,1,1,,3,7020,1,,45000,"Forty five thousand naira",1,0,20,1,7320,2,2,,1,1,108,1,1,1,1,1,1,1,2,1,1,1,1,2,300000,,"Three hundred thousand naira",1,1,1,0,0,0,1,0,0,,504,1,7,2,,,,,,,,,,,,,,,2,,,,,,,1,8000000,,"Eight Million Naira",12,1,1000000,"One Million Niara",4,0,"Zero",1,400000,5000000,1000000,900000,0,0,7300000,0,0,0,0,1000000,0,1000000,2000000,"Two million naira",7,17906000,"Seventeen million nine hundred and six thousand naira",13,3,60,,966000,"Nine hundred and sixty six thousand naira",4,1000000,"One million naira",4,8,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,4,1,2,,,,,,,,,1,,,,,,,,,,,100,6,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,1,1,0.768750011920929,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,0,,,,,,,,,,,202,,,,,28,5,0,2,35,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2550000,,,,,,3,,,1850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
